dataset,classifier,method,gmean,gmean_std,worst_recall,balanced_accuracy,macro_f1,rank
led7digit,rf,borderline_smote,0.6866732554521475,0.043084070832958,0.4252525252525252,0.7076678932178931,0.7031775422762854,3.0
led7digit,rf,global_cs,0.6779279626814168,0.0436853989967482,0.4128484848484848,0.6997766955266955,0.694112295871153,11.0
led7digit,rf,gmm_sampling,0.6940202494580257,0.0454236262105101,0.445070707070707,0.7131531024531025,0.7090340137199056,1.0
led7digit,rf,gpmr_v3,0.6838311515085613,0.046082781966273,0.418959595959596,0.7057205627705627,0.700993340913054,9.0
led7digit,rf,kde_reconstructed,0.6856106087574129,0.0406086979606909,0.4208585858585858,0.7066848484848485,0.7024232617554693,4.0
led7digit,rf,mc_ccr,0.6521464189221463,0.1093669072954464,0.3495808080808081,0.6962911976911976,0.6862494282448192,12.0
led7digit,rf,mdo,0.6842891002219734,0.0402131967607396,0.4172424242424242,0.7057030303030303,0.7010828706979821,8.0
led7digit,rf,none,0.6850341600581251,0.040972074346255,0.4242871572871573,0.7054038961038961,0.7015890569491259,6.0
led7digit,rf,ros,0.6834695863706376,0.041760873926418,0.4195757575757575,0.7047093073593074,0.6995296926165523,10.0
led7digit,rf,rus,0.6850668308019501,0.0415208313214171,0.4306363636363636,0.706091341991342,0.7005703002835645,5.0
led7digit,rf,smote,0.6846787654751363,0.0447771131584957,0.418044733044733,0.7062166666666667,0.7017903943875696,7.0
led7digit,rf,soup,0.6867399627535089,0.0398370238558348,0.423979797979798,0.7076347763347763,0.7025491540637563,2.0
pageblocks-full,cart,allknn,0.7821198358048246,0.0537958479169923,0.4730434782608695,0.8122503213660983,0.8133144014828662,13.0
pageblocks-full,cart,borderline_smote,0.8193568933191709,0.0479872878570339,0.6340852514919011,0.831159504113216,0.8107178073768977,10.0
pageblocks-full,cart,global_cs,0.7784714314859771,0.0506909175309252,0.5429565217391304,0.7974894295741756,0.8015036648927265,14.0
pageblocks-full,cart,gmm_sampling,0.8748632206850684,0.031201748128571,0.7054600738846263,0.8823626322016722,0.7210334164872252,4.0
pageblocks-full,cart,gpmr_v3,0.9066067365321856,0.0256678626088489,0.7888487860551571,0.910321856211494,0.7576134354778847,1.0
pageblocks-full,cart,kde_reconstructed,0.8286697550986287,0.0394863594903047,0.6523488594383735,0.8388039566640378,0.7490582895489111,6.0
pageblocks-full,cart,mc_ccr,0.8301154223214807,0.0446050093542952,0.6500102301790281,0.8403977287995447,0.7962376263289781,5.0
pageblocks-full,cart,mdo,0.804188776984724,0.0481160114502692,0.5380869565217391,0.8247895432873749,0.766614236230837,11.0
pageblocks-full,cart,none,0.8022880394274918,0.0451633966389576,0.5777681159420289,0.817882588209585,0.8158341642422132,12.0
pageblocks-full,cart,ros,0.7730493302236292,0.0531067003856055,0.5429565217391304,0.7924462044097891,0.7992341759405766,15.0
pageblocks-full,cart,rus,0.8750340619092646,0.0308818707806545,0.7627545043984257,0.8796136888637485,0.6210619700788346,3.0
pageblocks-full,cart,smote,0.8234655374770322,0.0355840098775822,0.6318937198067632,0.8350504277007476,0.8037285035857679,8.0
pageblocks-full,cart,soup,0.8905577122114698,0.0445508094516562,0.7845347284764423,0.894559988344302,0.6634166293454128,2.0
pageblocks-full,knn,allknn,0.6914378529375821,0.0615812704939099,0.3932173913043478,0.7312608398383756,0.7572114655918832,15.0
